,list,ratings
0,Soorarai Pottru,"<span class=""ipl-rating-star__rating"">8.7</span>"
1,Jai Bhim,"<span class=""ipl-rating-star__rating"">8.9</span>"
2,Vaaranam Aayiram,"<span class=""ipl-rating-star__rating"">8.2</span>"
3,Nandha,"<span class=""ipl-rating-star__rating"">7.7</span>"
4,24,"<span class=""ipl-rating-star__rating"">7.9</span>"
5,Ghajini,"<span class=""ipl-rating-star__rating"">7.5</span>"
6,Kaakha..Kaakha: The Police,"<span class=""ipl-rating-star__rating"">8</span>"
7,Ayan,"<span class=""ipl-rating-star__rating"">7.6</span>"
8,Mounam Pesiyadhe,"<span class=""ipl-rating-star__rating"">7.7</span>"
9,Singam,"<span class=""ipl-rating-star__rating"">6.9</span>"
10,Pithamagan,"<span class=""ipl-rating-star__rating"">8.3</span>"
11,7 Aum Arivu,"<span class=""ipl-rating-star__rating"">6.5</span>"
12,Ayitha Ezhuthu,"<span class=""ipl-rating-star__rating"">7.9</span>"
13,Unnai Ninaithu,"<span class=""ipl-rating-star__rating"">7.3</span>"
14,Pasanga 2,"<span class=""ipl-rating-star__rating"">7.3</span>"
15,Maattrraan,"<span class=""ipl-rating-star__rating"">6.1</span>"
16,Sillunu Oru Kadhal,"<span class=""ipl-rating-star__rating"">7</span>"
17,Peralagan,"<span class=""ipl-rating-star__rating"">6.4</span>"
18,Nerukku Ner,"<span class=""ipl-rating-star__rating"">7.5</span>"
19,Singam 3,"<span class=""ipl-rating-star__rating"">6</span>"
20,Friends,"<span class=""ipl-rating-star__rating"">7.9</span>"
21,Rakhta Charitra,"<span class=""ipl-rating-star__rating"">7.6</span>"
22,Singam 2,"<span class=""ipl-rating-star__rating"">6.3</span>"
23,Thaanaa Serndha Koottam,"<span class=""ipl-rating-star__rating"">6.4</span>"
24,Masss,"<span class=""ipl-rating-star__rating"">5.9</span>"
